geometry|lat|lon|name|rating|types|zona_estudio|n_types|type_0|type_1|type_2|type_3|type_4|type_5|type_6|type_7|type_8
POINT (-78.4707491 -0.1242277)|-0.1242277|-78.4707491|Lubri Happy Cars|4.7|['car_wash']|LA BOTA|1|car_wash||||||||
POINT (-78.470777 -0.1242271)|-0.1242271|-78.470777|LAVADORA Y LUBRICADORA CESAR SAA||['car_wash']|LA BOTA|1|car_wash||||||||
POINT (-78.4508559 -0.1274401)|-0.1274401|-78.4508559|"LUBRICADORA ""DON FELIX"""|5.0|['car_wash']|LA BOTA|1|car_wash||||||||
POINT (-78.46968799999999 -0.1267587)|-0.1267587|-78.46968799999999|Lubricantes LR|5.0|['car_wash', 'car_repair', 'store']|LA BOTA|3|car_wash|car_repair|store||||||
POINT (-78.4505102 -0.1277802)|-0.1277802|-78.4505102|C&C Autoservicio Express||['car_wash']|LA BOTA|1|car_wash||||||||
POINT (-78.45169589999999 -0.1024573)|-0.1024573|-78.45169589999999|Internacional Garage Classic|4.0|['car_wash']|LA BOTA|1|car_wash||||||||
POINT (-78.4503163 -0.1279507)|-0.1279507|-78.4503163|HCL MULTISERVICIOS|4.1|['car_wash']|LA BOTA|1|car_wash||||||||
POINT (-78.4718643 -0.1052388)|-0.1052388|-78.4718643|RITUAL CAR WASH||['car_wash']|LA BOTA|1|car_wash||||||||
POINT (-78.4812327 -0.1152542)|-0.1152542|-78.4812327|Cementerio Parque de los Recuerdos|4.2|['cemetery']|LA BOTA|1|cemetery||||||||
POINT (-78.442128 -0.1279707)|-0.1279707|-78.442128|Cementerio Llano Chico|4.0|['cemetery']|LA BOTA|1|cemetery||||||||
POINT (-78.4812591 -0.1152225)|-0.1152225|-78.4812591|Memorial Park Cemetery|3.5|['cemetery']|LA BOTA|1|cemetery||||||||
POINT (-78.46877219999999 -0.1230521)|-0.1230521|-78.46877219999999|"Ministerio Cristiano ""El Gozo Espiritual"""|4.7|['church', 'place_of_worship']|LA BOTA|2|church|place_of_worship|||||||
POINT (-78.4643004 -0.1284197)|-0.1284197|-78.4643004|Salon Del Reino Testigos De Jehová|4.4|['church', 'place_of_worship']|LA BOTA|2|church|place_of_worship|||||||
POINT (-78.471852 -0.125985)|-0.125985|-78.471852|Iglesia De Dios Ministerial De Jesucristo Internacional Norte|4.7|['church', 'place_of_worship']|LA BOTA|2|church|place_of_worship|||||||
POINT (-78.45991350000001 -0.1350904)|-0.1350904|-78.45991350000001|Iglesia Cristiana Jesucristo La Unica Respuesta|4.4|['church', 'place_of_worship']|LA BOTA|2|church|place_of_worship|||||||
POINT (-78.445574 -0.1300263)|-0.1300263|-78.445574|Salon Del Reino Testigos De Jehova|4.8|['church', 'place_of_worship']|LA BOTA|2|church|place_of_worship|||||||
POINT (-78.448005 -0.0970737)|-0.0970737|-78.448005|Salón Del Reino De Los Testigos De Jehova Carapungo|4.8|['church', 'place_of_worship']|LA BOTA|2|church|place_of_worship|||||||
POINT (-78.4610952 -0.1158365)|-0.1158365|-78.4610952|San Francisco De Asis Church|4.6|['church', 'place_of_worship']|LA BOTA|2|church|place_of_worship|||||||
POINT (-78.456345 -0.116868)|-0.116868|-78.456345|IPUIE COMITE DEL PUEBLO #1 QUITO||['church', 'place_of_worship']|LA BOTA|2|church|place_of_worship|||||||
POINT (-78.4555649 -0.1173754)|-0.1173754|-78.4555649|Familia Generación de Fuego 24/7 Ecuador|5.0|['church', 'place_of_worship']|LA BOTA|2|church|place_of_worship|||||||
