geometry|lat|lon|name|rating|type|zona_estudio|category|sub_cat
POINT (-78.5102814 -0.2123424)|-0.2123424|-78.5102814|Doctor Darwin Yumiceba González|5.0|doctor|TOCTIUCO|health|health
POINT (-78.5178796 -0.2234296)|-0.2234296|-78.5178796|Rafael Barahona||doctor|TOCTIUCO|health|health
POINT (-78.5146469 -0.2210537)|-0.2210537|-78.5146469|Las Mascotas Veterinaria & Petshop|5.0|meal_delivery|TOCTIUCO|local_economy|food and drinks
POINT (-78.5103117 -0.2040861)|-0.2040861|-78.5103117|Multisalud matriz||doctor|TOCTIUCO|health|health
POINT (-78.50919619999999 -0.2141273)|-0.2141273|-78.50919619999999|consultorio y laboratorio Dr. Carbo||doctor|TOCTIUCO|health|health
POINT (-78.53085659999999 -0.2266121)|-0.2266121|-78.53085659999999|Centro De Salud Nueva Aurora|3.0|doctor|TOCTIUCO|health|health
POINT (-78.5225385 -0.2098408)|-0.2098408|-78.5225385|N@D Servicios Eléctricos, Porteros Eléctricos, Instalaciones Eléctricas, Electricidad Industrial|4.0|electrician|TOCTIUCO|local_economy|services
POINT (-78.5137142 -0.2133467)|-0.2133467|-78.5137142|QM Electronic and Electric Soluciones EC||electrician|TOCTIUCO|local_economy|services
POINT (-78.51709950000001 -0.222846)|-0.222846|-78.51709950000001|MULTISERVICIOS JUAN CARLOS MEDRANO||electrician|TOCTIUCO|local_economy|services
POINT (-78.5212367 -0.2248165999999999)|-0.2248165999999999|-78.5212367|UNIEv||electrician|TOCTIUCO|local_economy|services
POINT (-78.5105739 -0.2247286)|-0.2247286|-78.5105739|Trabajos De Electricidad|3.7|electrician|TOCTIUCO|local_economy|services
POINT (-78.5135425 -0.2224402)|-0.2224402|-78.5135425|Impromusys - Casa Musical Importadora Zapata|3.6|electronics_store|TOCTIUCO|local_economy|stores
POINT (-78.5086121 -0.2166989)|-0.2166989|-78.5086121|JG Electrónica Quito|4.4|electronics_store|TOCTIUCO|local_economy|stores
POINT (-78.50946499999999 -0.218609)|-0.218609|-78.50946499999999|Artisteca, Semillero del Cambio|4.8|electronics_store|TOCTIUCO|local_economy|stores
POINT (-78.508516 -0.216609)|-0.216609|-78.508516|Electrónica Plug & Play|4.5|electronics_store|TOCTIUCO|local_economy|stores
POINT (-78.5072248 -0.2048573)|-0.2048573|-78.5072248|"IDC Mayoristas en Computación CA | Matriz"|4.4|electronics_store|TOCTIUCO|local_economy|stores
POINT (-78.5228212 -0.2090163)|-0.2090163|-78.5228212|Squirla Studio Records|5.0|electronics_store|TOCTIUCO|local_economy|stores
POINT (-78.51766649999999 -0.2130346)|-0.2130346|-78.51766649999999|Luthier Victor Ortiz - Violines|4.7|electronics_store|TOCTIUCO|local_economy|stores
POINT (-78.5151475 -0.2115351)|-0.2115351|-78.5151475|Kapak, sala de ensayo.||electronics_store|TOCTIUCO|local_economy|stores
POINT (-78.5146731 -0.2218681)|-0.2218681|-78.5146731|"Mall ""Apple"""|3.9|electronics_store|TOCTIUCO|local_economy|stores
POINT (-78.5143879 -0.2158103)|-0.2158103|-78.5143879|EL IMPORTADOR|4.0|electronics_store|TOCTIUCO|local_economy|stores
POINT (-78.5153811 -0.2180862)|-0.2180862|-78.5153811|Look Cine En Casa Local 2-20|5.0|electronics_store|TOCTIUCO|local_economy|stores
POINT (-78.5124553 -0.2090797)|-0.2090797|-78.5124553|El Ensayo|5.0|electronics_store|TOCTIUCO|local_economy|stores
POINT (-78.5149845 -0.2178236)|-0.2178236|-78.5149845|Look Cine en Casa||electronics_store|TOCTIUCO|local_economy|stores
POINT (-78.5145826 -0.2158796)|-0.2158796|-78.5145826|Jardin Artificial Laddy||florist|TOCTIUCO|local_economy|stores
POINT (-78.50558079999999 -0.2142171)|-0.2142171|-78.50558079999999|TIKA Regalos Creativos||florist|TOCTIUCO|local_economy|stores
POINT (-78.5048796 -0.2075049)|-0.2075049|-78.5048796|Arreglos florales a domicilio para todo evento||florist|TOCTIUCO|local_economy|stores
POINT (-78.50547069999999 -0.2157845)|-0.2157845|-78.50547069999999|Arte y Decoraciones Jenni|5.0|florist|TOCTIUCO|local_economy|stores
POINT (-78.5045166 -0.2098349)|-0.2098349|-78.5045166|FLORIST ELIOSD|4.9|florist|TOCTIUCO|local_economy|stores
POINT (-78.5070776 -0.2199308)|-0.2199308|-78.5070776|Amalia Cardenas||florist|TOCTIUCO|local_economy|stores
POINT (-78.5069248 -0.2198973)|-0.2198973|-78.5069248|Zoila Cardenas||florist|TOCTIUCO|local_economy|stores
POINT (-78.5046421 -0.2133159)|-0.2133159|-78.5046421|Bella Flor|1.0|florist|TOCTIUCO|local_economy|stores
POINT (-78.505604 -0.2140991)|-0.2140991|-78.505604|Colchones Chaide y Chaide - Distribuidora Monzon|4.6|furniture_store|TOCTIUCO|local_economy|stores
POINT (-78.5047118 -0.2037917)|-0.2037917|-78.5047118|COMPULab Technology Ecuador|4.7|furniture_store|TOCTIUCO|local_economy|stores
POINT (-78.5036987 -0.209139)|-0.209139|-78.5036987|Mueblecom|4.6|furniture_store|TOCTIUCO|local_economy|stores
POINT (-78.5210714 -0.2190669)|-0.2190669|-78.5210714|Muebleria Casillas Terán|5.0|furniture_store|TOCTIUCO|local_economy|stores
POINT (-78.51656849999999 -0.2161202)|-0.2161202|-78.51656849999999|Chaide y Chaide|5.0|furniture_store|TOCTIUCO|local_economy|stores
POINT (-78.5208739 -0.2200487)|-0.2200487|-78.5208739|HORUS MODULARES Y DISEÑOS||furniture_store|TOCTIUCO|local_economy|stores
POINT (-78.5208747 -0.2200512999999999)|-0.2200512999999999|-78.5208747|Muebles de San Roque|4.2|furniture_store|TOCTIUCO|local_economy|stores
POINT (-78.5156927 -0.2163665)|-0.2163665|-78.5156927|Basesco Cia|4.9|furniture_store|TOCTIUCO|local_economy|stores
POINT (-78.5143039 -0.2157117)|-0.2157117|-78.5143039|Distribuidores Reycal|4.5|furniture_store|TOCTIUCO|local_economy|stores
POINT (-78.5205405 -0.2219418)|-0.2219418|-78.5205405|Special Mueble||furniture_store|TOCTIUCO|local_economy|stores
POINT (-78.5200967 -0.2221541)|-0.2221541|-78.5200967|MUEBLES EDITH|5.0|furniture_store|TOCTIUCO|local_economy|stores
POINT (-78.51273379999999 -0.2175088)|-0.2175088|-78.51273379999999|Importadora Distribuidora MundiOfertas|4.4|furniture_store|TOCTIUCO|local_economy|stores
POINT (-78.5192656 -0.223526)|-0.223526|-78.5192656|PAAC-TECHNOLOGY|5.0|furniture_store|TOCTIUCO|local_economy|stores
POINT (-78.51169010000001 -0.2189372)|-0.2189372|-78.51169010000001|COMPU PHONE IMPORTACIONES QUITO||furniture_store|TOCTIUCO|local_economy|stores
POINT (-78.5139682 -0.2221647)|-0.2221647|-78.5139682|PC Net|5.0|furniture_store|TOCTIUCO|local_economy|stores
POINT (-78.5087499 -0.2054419)|-0.2054419|-78.5087499|Isabel ´S||furniture_store|TOCTIUCO|local_economy|stores
POINT (-78.51761139999999 -0.1924381)|-0.1924381|-78.51761139999999|Vulqano Park|4.2|amusement_park|TOCTIUCO|built_environment|entertainment
POINT (-78.51364679999999 -0.2248488)|-0.2248488|-78.51364679999999|La Casona de la Ronda Hotel|4.7|tourist_attraction|TOCTIUCO|built_environment|public_space
POINT (-78.5189317 -0.2175079)|-0.2175079|-78.5189317|Yaku Water Museum|4.4|museum|TOCTIUCO|local_economy|entertainment
POINT (-78.51257249999999 -0.2204725)|-0.2204725|-78.51257249999999|Catedral Metropolitana de Quito|4.7|tourist_attraction|TOCTIUCO|built_environment|public_space
POINT (-78.51382920000002 -0.2202184)|-0.2202184|-78.51382920000002|Capilla del Milagro|4.9|museum|TOCTIUCO|local_economy|entertainment
POINT (-78.51275 -0.2206163)|-0.2206163|-78.51275|Church of the Tabernacle|4.8|tourist_attraction|TOCTIUCO|built_environment|public_space
POINT (-78.5097243 -0.2201065)|-0.2201065|-78.5097243|Free Walking Tour Quito|4.5|tourist_attraction|TOCTIUCO|built_environment|public_space
POINT (-78.5136555 -0.2209494)|-0.2209494|-78.5136555|Church of the Society of Jesus|4.8|tourist_attraction|TOCTIUCO|built_environment|public_space
POINT (-78.51308449999999 -0.2177738)|-0.2177738|-78.51308449999999|Museo de Arte Colonial|4.6|museum|TOCTIUCO|local_economy|entertainment
POINT (-78.513227 -0.2218616)|-0.2218616|-78.513227|Museo Casa de Sucre|4.6|tourist_attraction|TOCTIUCO|built_environment|public_space
POINT (-78.50928789999999 -0.2235013)|-0.2235013|-78.50928789999999|Muñoz Mariño Museo y Galerías|4.7|museum|TOCTIUCO|local_economy|entertainment
POINT (-78.5150173 -0.2228231)|-0.2228231|-78.5150173|Museum of the City|4.7|museum|TOCTIUCO|local_economy|entertainment
POINT (-78.5137149 -0.2181473)|-0.2181473|-78.5137149|Iglesia de Nuestra Señora de La Merced|4.7|tourist_attraction|TOCTIUCO|built_environment|public_space
POINT (-78.505242 -0.218752)|-0.218752|-78.505242|BALLET FOLCLÓRICO NACIONAL JACCHIGUA|4.8|tourist_attraction|TOCTIUCO|built_environment|public_space
POINT (-78.512081 -0.220124)|-0.220124|-78.512081|Independence Square|4.6|tourist_attraction|TOCTIUCO|built_environment|public_space
POINT (-78.5128857 -0.2201173)|-0.2201173|-78.5128857|Centro Cultural Metropolitano|4.7|tourist_attraction|TOCTIUCO|built_environment|public_space
POINT (-78.5175692 -0.2095039)|-0.2095039|-78.5175692|Mirador Fray José Yepez||tourist_attraction|TOCTIUCO|built_environment|public_space
POINT (-78.5275 -0.2188889)|-0.2188889|-78.5275|Cima de la Libertad y Templo de la Patria|4.5|museum|TOCTIUCO|local_economy|entertainment
POINT (-78.52201149999999 -0.2184974)|-0.2184974|-78.52201149999999|Ciudadoras de La Libertad - La Guaytamba||tourist_attraction|TOCTIUCO|built_environment|public_space
POINT (-78.52558189999999 -0.2194634)|-0.2194634|-78.52558189999999|El Tiempo - Chucuri||tourist_attraction|TOCTIUCO|built_environment|public_space
POINT (-78.5118088 -0.2252952999999999)|-0.2252952999999999|-78.5118088|"Fire Station N 2 ""Colonel Angel Jarrín"""|4.6|fire_station|TOCTIUCO|government|government
POINT (-78.5191017 -0.2128938)|-0.2128938|-78.5191017|"Lorenzo de cepeda y gertrudis avalos ""estacion de bomberos"""|4.0|fire_station|TOCTIUCO|government|government
POINT (-78.5190355 -0.2127992)|-0.2127992|-78.5190355|Estación x12 de bomberos|5.0|fire_station|TOCTIUCO|government|government
POINT (-78.5204394 -0.2105686)|-0.2105686|-78.5204394|Funeraria Los Olivos||funeral_home|TOCTIUCO|local_economy|services
POINT (-78.5155566 -0.2231779)|-0.2231779|-78.5155566|Funeraria San Vicente||funeral_home|TOCTIUCO|local_economy|services
POINT (-78.5049025 -0.2042603)|-0.2042603|-78.5049025|Monteolivo Y Jardines del Valle|5.0|funeral_home|TOCTIUCO|local_economy|services
POINT (-78.5037887 -0.2058388)|-0.2058388|-78.5037887|Servicios funerarios Funeraria||funeral_home|TOCTIUCO|local_economy|services
POINT (-78.5221313 -0.2195774)|-0.2195774|-78.5221313|PS|3.8|gas_station|TOCTIUCO|local_economy|services
POINT (-78.5082649 -0.212639)|-0.212639|-78.5082649|Gasolinera P&S|4.1|gas_station|TOCTIUCO|local_economy|services
POINT (-78.51519499999999 -0.2257867)|-0.2257867|-78.51519499999999|Quito Huaquillas Aguas Verdes||gas_station|TOCTIUCO|local_economy|services
POINT (-78.5183514 -0.2278704)|-0.2278704|-78.5183514|PyS Estación de Servicio|4.5|gas_station|TOCTIUCO|local_economy|services
POINT (-78.50393009999999 -0.2104865)|-0.2104865|-78.50393009999999|Shell Central Nucopsa|4.0|gas_station|TOCTIUCO|local_economy|services
POINT (-78.50402270000001 -0.2060713)|-0.2060713|-78.50402270000001|fussion fitness Gimansio y Spa|4.8|gym|TOCTIUCO|health|health
POINT (-78.520135 -0.21245)|-0.21245|-78.520135|Gym a tu casa||gym|TOCTIUCO|health|health
POINT (-78.5180426 -0.2075203)|-0.2075203|-78.5180426|Pasaje Vinueza Las Cuatro Estacas|4.4|gym|TOCTIUCO|health|health
POINT (-78.5162143 -0.2127946)|-0.2127946|-78.5162143|Antony’s Gym|5.0|gym|TOCTIUCO|health|health
POINT (-78.5127792 -0.2102493)|-0.2102493|-78.5127792|ZONA CERO|4.5|gym|TOCTIUCO|health|health
POINT (-78.51583459999999 -0.218195)|-0.218195|-78.51583459999999|Yoga|3.8|gym|TOCTIUCO|health|health
POINT (-78.5120575 -0.212637)|-0.212637|-78.5120575|Coliseo|4.3|gym|TOCTIUCO|health|health
POINT (-78.5323277 -0.2227086)|-0.2227086|-78.5323277|Bailoterapia Move On|3.8|gym|TOCTIUCO|health|health
POINT (-78.5105858 -0.2189821)|-0.2189821|-78.5105858|Gimnasio - Gym|4.7|gym|TOCTIUCO|health|health
POINT (-78.50820639999999 -0.2146321)|-0.2146321|-78.50820639999999|Gimnasio Ironman|4.8|gym|TOCTIUCO|health|health
POINT (-78.50813029999999 -0.2146426)|-0.2146426|-78.50813029999999|Iron Muscle Gym||gym|TOCTIUCO|health|health
POINT (-78.5078206 -0.2057853)|-0.2057853|-78.5078206|Planeta Fitness Gym|4.8|gym|TOCTIUCO|health|health
POINT (-78.5090281 -0.2186465)|-0.2186465|-78.5090281|"Escuela Taekwondo Quito ""Taebaek Ecuador"" (Karate Coreano)"|5.0|gym|TOCTIUCO|health|health
